"price","model","year","mileage","mpg","fuelType","engineSize","tax","transmission"
22.972,"Passat",2018,56.955,166,"Hybrid",1.4,135,"Semi-Auto"
8.59,"Passat",2015,62.459,70.6,"Diesel",1.6,20,"Manual"
19.75,"Passat",2019,4.116,45.6,"Petrol",1.5,145,"Manual"
28,"Passat",2019,5.53,43.5,"Hybrid",1.4,135,"Semi-Auto"
10.89,"Passat",2016,62.162,68.9,"Diesel",2,20,"Manual"
8,"Passat",2015,79.79,76.3,"Diesel",1.6,0,"Manual"
5.394,"Passat",2014,134,61.4,"Diesel",2,30,"Manual"
19.998,"Passat",2017,22.85,166,"Hybrid",1.4,0,"Semi-Auto"
11.298,"Passat",2016,35.123,70.6,"Diesel",1.6,20,"Manual"
10.799,"Passat",2015,49.913,67.3,"Diesel",1.6,20,"Manual"
8.99,"Passat",2015,84.213,62.8,"Diesel",2,30,"Automatic"
7.793,"Passat",2015,106,67.3,"Diesel",2,20,"Manual"
30.991,"Passat",2019,3.569,48.7,"Diesel",2,145,"Automatic"
11.999,"Passat",2016,43.656,62.8,"Diesel",2,30,"Automatic"
9.799,"Passat",2015,45.758,68.9,"Diesel",2,20,"Manual"
9.999,"Passat",2014,25.092,54.3,"Diesel",2,145,"Automatic"
13.6,"Passat",2015,26.944,62.8,"Diesel",2,30,"Automatic"
28.89,"Passat",2019,10.249,43.5,"Hybrid",1.4,135,"Automatic"
12.49,"Passat",2016,52.2,67.3,"Diesel",2,20,"Manual"
16.495,"Passat",2018,22,68.9,"Diesel",2,145,"Manual"
23.79,"Passat",2019,5.831,40.4,"Petrol",2,145,"Semi-Auto"
22.8,"Passat",2019,9.177,51.4,"Diesel",2,145,"Automatic"
13.981,"Passat",2017,37.607,62.8,"Diesel",2,150,"Semi-Auto"
17.993,"Passat",2019,13.383,40.4,"Petrol",1.5,145,"Semi-Auto"
15.991,"Passat",2017,23.583,60.1,"Diesel",2,30,"Semi-Auto"
11.95,"Passat",2016,26.325,70.6,"Diesel",1.6,20,"Manual"
9.8,"Passat",2017,71.859,68.9,"Diesel",2,20,"Manual"
9.79,"Passat",2016,67.022,62.8,"Diesel",2,30,"Semi-Auto"
16.495,"Passat",2019,16.728,54.3,"Diesel",2,145,"Manual"
13.995,"Passat",2017,6,68.9,"Diesel",2,145,"Manual"
15.3,"Passat",2016,28.52,61.4,"Diesel",2,30,"Automatic"
11.295,"Passat",2015,37.701,68.9,"Diesel",1.6,20,"Manual"
9,"Passat",2014,53.314,61.4,"Diesel",2,30,"Manual"
9.291,"Passat",2016,105,67.3,"Diesel",2,20,"Manual"
19.49,"Passat",2018,18.4,54.3,"Petrol",1.4,145,"Manual"
9.5,"Passat",2014,48,61.4,"Diesel",2,30,"Manual"
16.34,"Passat",2017,6,61.4,"Diesel",2,140,"Automatic"
12.85,"Passat",2018,33.017,68.9,"Diesel",1.6,150,"Manual"
6.995,"Passat",2011,77.7,61.4,"Diesel",2,30,"Manual"
4.991,"Passat",2011,117,60.1,"Diesel",2,125,"Manual"
18.199,"Passat",2019,4.227,41.5,"Petrol",1.5,145,"Automatic"
31,"Passat",2019,9.9,41.5,"Hybrid",1.4,135,"Automatic"
11.998,"Passat",2015,46.845,68.9,"Diesel",2,20,"Manual"
28.999,"Passat",2019,8.275,48.7,"Diesel",2,150,"Semi-Auto"
7.75,"Passat",2014,57.97,61.4,"Diesel",2,30,"Manual"
18.999,"Passat",2018,4.429,48.7,"Petrol",1.8,145,"Automatic"
25.995,"Passat",2019,1.5,48.7,"Diesel",2,145,"Automatic"
20.795,"Passat",2019,17.947,51.4,"Diesel",2,150,"Semi-Auto"
11.8,"Passat",2016,53.671,67.3,"Diesel",2,20,"Manual"
18.199,"Passat",2019,6.751,41.5,"Petrol",1.5,145,"Automatic"
24,"Passat",2019,8.455,40.4,"Diesel",2,145,"Automatic"
10,"Passat",2017,82.405,70.6,"Diesel",1.6,20,"Semi-Auto"
23.39,"Passat",2019,5.79,39.2,"Petrol",1.5,150,"Semi-Auto"
16.59,"Passat",2018,17.618,61.4,"Diesel",2,145,"Semi-Auto"
12.599,"Passat",2016,36.986,67.3,"Diesel",2,20,"Manual"
15.992,"Passat",2017,25.035,60.1,"Diesel",2,125,"Semi-Auto"
14.998,"Passat",2017,36.481,68.9,"Diesel",2,150,"Manual"
12.995,"Passat",2016,34.991,67.3,"Diesel",1.6,20,"Manual"
